"date","weighted","close","high","low","open","volume"
"2021-05-01 12:05:00","2919.99","2934.97","2935.75","2895.83","2895.98","124755008.72"
"2021-05-01 13:05:00","2933.36","2941.65","2944.82","2918.89","2934.97","76265583.88"
"2021-05-01 14:05:00","2929.29","2927.57","2941.67","2919.29","2941.65","56132456.8"
"2021-05-01 15:05:00","2942.11","2949.95","2954.21","2926.65","2927.57","70699546.1"
"2021-05-01 16:05:00","2932.78","2922.45","2950.27","2918.84","2949.95","61647422.19"
"2021-05-01 17:05:00","2935.77","2939.27","2947.22","2914.04","2922.45","61529295.15"
"2021-05-01 18:05:00","2947.28","2947.8","2954.54","2933.4","2939.27","57835547.23"
"2021-05-01 19:05:00","2941.19","2936.02","2954.72","2924.11","2947.8","73621514.79"
"2021-05-01 20:05:00","2935.19","2942.26","2945.08","2925.31","2936.02","31929635.1"
"2021-05-01 21:05:00","2950.2","2950.4","2955.18","2939.97","2942.26","45651662.17"
"2021-05-01 22:05:00","2923.6","2906.46","2953.17","2902.35","2950.4","66294817.9"
"2021-05-01 23:05:00","2901.65","2927.56","2928.83","2876.82","2906.46","75986116.98"
"2021-05-01 24:05:00","2915.28","2916.86","2927.64","2905.92","2927.56","31962332.35"
"2021-05-02 01:05:00","2917.64","2913.2","2927.04","2908.07","2916.86","14787356.61"
"2021-05-02 02:05:00","2894.23","2894.7","2916.3","2877.2","2913.2","44940202.77"
"2021-05-02 03:05:00","2875.89","2878.09","2898.42","2856.3","2894.7","48321193.65"
"2021-05-02 04:05:00","2878.46","2898.89","2898.97","2869.76","2878.09","37473260.04"
"2021-05-02 05:05:00","2912.41","2925.26","2926.1","2895.07","2898.89","25450024.79"
"2021-05-02 06:05:00","2920.83","2935.65","2935.66","2908.11","2925.26","21755194.35"
"2021-05-02 07:05:00","2926.32","2926.32","2932.01","2916.65","2936.46","46271215.76"
"2021-05-02 08:05:00","2918.71","2915.89","2931.2","2904.92","2926.85","24919763.45"
"2021-05-02 09:05:00","2920.66","2920.83","2927.11","2913.83","2915.89","20264018.19"
